date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,net_buy_dealer_hedging,net_buy_dealer_self,net_buy_foreign_dealer_self,net_buy_foreign_investor,net_buy_investment_trust,total_net_buy
2025-09-03,TAIEX,6215237843,375154827165,24036.88,24103.23,23925.49,24100.3,63.419999999998254,7260389208.8,7300078460.9,7596651610.75,24131.672,24148.734,24160.514499999997,-0.0013000342454513468,-0.0020056537953501456,-0.002492268945679871,1826384013,594424275,0,8199762036,-637699825,9982870499
2025-09-04,TAIEX,7455297262,450547881333,24235.27,24389.35,24168.16,24179.85,-55.42000000000189,7227568468.6,7346568325.7,7614083135.75,24120.352000000003,24170.506,24169.3185,0.00246671358693256,0.00038658685920755327,0.0004357383928718272,1592647455,-221496133,0,11808136125,-1545453579,11633833868
2025-09-05,TAIEX,6973379276,426569974111,24244.26,24494.58,24244.26,24494.58,250.32000000000335,7078901515.6,7386734284.4,7612238339.8,24172.647999999997,24243.517,24192.9845,0.013318027880106656,0.010355881945676526,0.012466237888095331,3187265877,1990403544,0,28281116909,-433975608,33024810722
2025-09-08,TAIEX,7768998687,443185374596,24610.85,24729.96,24547.38,24547.38,-63.469999999997526,7056197348.8,7443443364.1,7639178341.4,24267.778,24270.517,24213.5785,0.01152153279134178,0.011407379579100074,0.013785715316717908,2450189490,148022770,0,14618525216,-1220126071,15996611405
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,204.72000000000116,7300931209.4,7426672496.0,7668085270.2,24435.458000000002,24325.525,24248.4195,0.017176760100015228,0.021773630784947037,0.025022682406166733,5248567415,-593301300,0,35653694959,-1782067231,38526893843
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,159.70999999999913,7796610239.2,7528499724.0,7659518101.05,24653.916,24392.794,24289.548000000003,0.021849429518620858,0.03278820786171516,0.03717821344390589,10044950199,1408535101,0,48947944283,-2727385240,57674044343
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,-293.59000000000015,8216279018.2,7721923743.4,7740101541.45,24861.088,24490.72,24338.428499999998,0.014264138399735338,0.02960264132700051,0.03604511688172476,5066502809,-3293217011,0,32999661731,-6271656501,28501291028
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,124.93999999999869,8387727449.8,7733314482.7,7735967501.6,25057.1,24614.874,24395.4365,0.01666354047355843,0.034928718302600276,0.04423792540051495,3721585081,1220408612,0,26538500007,-5810072034,25670421666
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-136.9399999999987,8225594503.4,7640895926.1,7660900947.15,25219.056,24743.416999999998,24439.1685,0.005476176427856751,0.02480429441091351,0.03756230495321476,1273450656,-276707377,0,2546248589,-8246829092,-4703837224
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,294.1800000000003,8119337718.6,7710134464.0,7624931750.3,25373.947999999997,24904.703,24502.975499999997,0.010076949791179629,0.029108437872156036,0.045980721810704284,2653412390,-1551866087,0,27003531062,-4513790695,23591286670
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-105.65999999999985,7950592326.2,7873601282.7,7586839871.8,25423.079999999998,25038.498,24593.616,0.0005967018944990888,0.015965494415839176,0.034343628037454846,48275135,-634644981,0,-5734012058,-5314277279,-11634659183
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,226.19000000000233,7707722144.6,7962000581.4,7654284453.55,25533.81,25197.449,24683.9775,0.009225023605956152,0.022697178591372484,0.043971134716842115,6211907193,3850575418,0,12153720716,-4987795065,17228408262
2025-09-19,TAIEX,9787714693,619694769912,25794.66,25864.01,25578.37,25578.37,-216.29000000000087,8099140796.4,8243434123.1,7815084203.75,25554.556,25305.828,24774.6725,0.0009318886229132092,0.01076993015205816,0.03244028755576883,4068685987,1346021137,0,-15745036443,-1937327805,-12267657124
