report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,date_distance,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251230,TAIEX,28150.45,-556.6800000000003,-0.01939169816000416,10,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251222_min,2025-11-03,-40,min,8299689369,299916382.07059973,0.5265306122448979,2074922342.25,135940452.27084404,0.5918367346938775,"11/03 min [28150] (dis： -557 , -1.94%) (vol_wei_pr ：59.18%)"
TAIEX-60-20251230,TAIEX,28149.64,-557.4900000000016,-0.01941991414676429,9,20251027_close|20251029_close|20251030_close|20251104_close|20251111_close|20251208_close|20251211_close|20251212_close|20251222_close,2025-12-22,-5,close,8984157012,275827192.5164116,0.4346938775510204,7554745425.467323,129918154.88229701,0.5285714285714286,"12/22 close [28150] (dis： -557 , -1.94%) (vol_wei_pr ：52.86%)"
TAIEX-60-20251230,TAIEX,28139.65,-567.4799999999996,-0.01976791131680525,9,20251027_min|20251029_min|20251030_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251222_min,2025-10-29,-43,min,9076231278,275827192.5164116,0.4346938775510204,2044989409.515097,129918154.88229701,0.5285714285714286,"10/29 min [28140] (dis： -567 , -1.98%) (vol_wei_pr ：52.86%)"
TAIEX-60-20251230,TAIEX,28119.79,-587.3400000000001,-0.020459725510700657,9,20251027_open|20251030_open|20251104_open|20251111_open|20251208_open|20251211_open|20251212_open|20251215_open|20251222_open,2025-12-15,-10,open,7855274707,258387438.50010318,0.40408163265306124,5554518013.40287,134690647.19339448,0.5714285714285714,"12/15 open [28120] (dis： -587 , -2.05%) (vol_wei_pr ：57.14%)"
TAIEX-60-20251230,TAIEX,28119.79,-587.3400000000001,-0.020459725510700657,9,20251027_max|20251030_max|20251104_max|20251111_max|20251208_max|20251211_max|20251212_max|20251215_max|20251222_max,2025-12-15,-10,max,7855274707,258387438.50010318,0.40408163265306124,5554518013.40287,134690647.19339448,0.5714285714285714,"12/15 max [28120] (dis： -587 , -2.05%) (vol_wei_pr ：57.14%)"
TAIEX-60-20251230,TAIEX,28116.6,-590.5300000000025,-0.020570847730163287,9,20251027_min|20251030_min|20251104_min|20251111_min|20251208_min|20251211_min|20251212_min|20251215_min|20251222_min,2025-10-30,-42,min,9446378341,258387438.50010318,0.40408163265306124,2203445660.6729336,134690647.19339448,0.5714285714285714,"10/30 min [28117] (dis： -591 , -2.06%) (vol_wei_pr ：57.14%)"
TAIEX-60-20251230,TAIEX,28116.56,-590.5699999999997,-0.020572241112225418,8,20251027_close|20251104_close|20251111_close|20251208_close|20251211_close|20251212_close|20251215_close|20251222_close,2025-11-04,-39,close,8404740088,235408022.47159296,0.35918367346938773,2175283151.7774734,129330508.87318207,0.5183673469387755,"11/04 close [28117] (dis： -591 , -2.06%) (vol_wei_pr ：51.84%)"
TAIEX-60-20251230,TAIEX,28113.284000000003,-593.8459999999977,-0.02068635910312169,8,20251027_10MA|20251104_10MA|20251111_10MA|20251208_10MA|20251211_10MA|20251212_10MA|20251215_10MA|20251222_10MA,2025-12-30,0,10MA,8876360103,235408022.47159296,0.35918367346938773,8876360103.0,129330508.87318207,0.5183673469387755,"12/30 10MA [28113] (dis： -594 , -2.07%) (vol_wei_pr ：51.84%)"
TAIEX-60-20251230,TAIEX,28097.54,-609.5900000000001,-0.021234794282814065,8,20251027_open|20251104_open|20251111_open|20251208_open|20251211_open|20251212_open|20251215_open|20251222_open,2025-12-12,-11,open,8508400161,235408022.47159296,0.35918367346938773,5811408570.25079,129330508.87318207,0.5183673469387755,"12/12 open [28098] (dis： -610 , -2.12%) (vol_wei_pr ：51.84%)"
TAIEX-60-20251230,TAIEX,28087.93,-619.2000000000007,-0.021569554323263965,9,20251027_max|20251028_max|20251104_max|20251111_max|20251208_max|20251211_max|20251212_max|20251215_max|20251222_max,2025-10-28,-44,max,8579810711,277817249.4549351,0.44081632653061226,1867289761.8587923,138560352.9830075,0.5959183673469388,"10/28 max [28088] (dis： -619 , -2.16%) (vol_wei_pr ：59.59%)"
