report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251226,TAIEX,27993.63,-562.39,-0.019694271,9,20251027_close|20251028_close|20251106_close|20251111_close|20251112_close|20251113_close|20251211_close|20251215_close|20251222_close,2025/10/27,close,9337097751,314637605.8,0.579591837,2103765917,136101140.8,0.485714286,"10/27 close [27994] (dis： -562 , -1.97%) (vol_wei_pr ：48.57%)"
TAIEX-60-20251226,TAIEX,27993.63,-562.39,-0.019694271,9,20251027_min|20251028_min|20251106_min|20251111_min|20251112_min|20251113_min|20251211_min|20251215_min|20251222_min,2025/10/27,min,9337097751,314637605.8,0.579591837,2103765917,136101140.8,0.485714286,"10/27 min [27994] (dis： -562 , -1.97%) (vol_wei_pr ：48.57%)"
TAIEX-60-20251226,TAIEX,27986.66,-569.36,-0.019938353,8,20251028_open|20251106_open|20251111_open|20251112_open|20251113_open|20251211_open|20251215_open|20251222_open,2025/12/22,open,8984157012,268573976,0.414285714,8096975663,125722423.9,0.426530612,"12/22 open [27987] (dis： -569 , -1.99%) (vol_wei_pr ：42.65%)"
TAIEX-60-20251226,TAIEX,27986.66,-569.36,-0.019938353,8,20251028_min|20251106_min|20251111_min|20251112_min|20251113_min|20251211_min|20251215_min|20251222_min,2025/12/22,min,8984157012,268573976,0.414285714,8096975663,125722423.9,0.426530612,"12/22 min [27987] (dis： -569 , -1.99%) (vol_wei_pr ：42.65%)"
TAIEX-60-20251226,TAIEX,27984.19,-571.83,-0.020024849,7,20251028_min|20251106_min|20251111_min|20251112_min|20251113_min|20251211_min|20251215_min,2025/12/11,min,8087246896,219234874.4,0.326530612,5718547121,81255535.72,0.314285714,"12/11 min [27984] (dis： -572 , -2.00%) (vol_wei_pr ：31.43%)"
TAIEX-60-20251226,TAIEX,27980.89,-575.13,-0.020140412,7,20251028_close|20251106_close|20251111_close|20251112_close|20251113_close|20251205_close|20251215_close,2025/12/5,close,6781520261,233360539.5,0.344897959,4174515392,88682960.37,0.324489796,"12/05 close [27981] (dis： -575 , -2.01%) (vol_wei_pr ：32.45%)"
TAIEX-60-20251226,TAIEX,27980.89,-575.13,-0.020140412,7,20251028_max|20251106_max|20251111_max|20251112_max|20251113_max|20251205_max|20251215_max,2025/12/5,max,6781520261,233360539.5,0.344897959,4174515392,88682960.37,0.324489796,"12/05 max [27981] (dis： -575 , -2.01%) (vol_wei_pr ：32.45%)"
TAIEX-60-20251226,TAIEX,27976.89,-579.13,-0.020280487,8,20251028_max|20251106_max|20251110_max|20251111_max|20251112_max|20251113_max|20251205_max|20251215_max,2025/11/10,max,7491028505,258635620.5,0.404081633,2386942498,96736616.14,0.330612245,"11/10 max [27977] (dis： -579 , -2.03%) (vol_wei_pr ：33.06%)"
TAIEX-60-20251226,TAIEX,27969.05,-586.97,-0.020555035,9,20251021_max|20251028_max|20251106_max|20251110_max|20251111_max|20251112_max|20251113_max|20251205_max|20251215_max,2025/10/21,max,8507303277,296195458.4,0.489795918,1727519368,104363633.2,0.355102041,"10/21 max [27969] (dis： -587 , -2.06%) (vol_wei_pr ：35.51%)"
TAIEX-60-20251226,TAIEX,27967.978,-588.042,-0.020592576,9,20251021_10MA|20251028_10MA|20251106_10MA|20251110_10MA|20251111_10MA|20251112_10MA|20251113_10MA|20251205_10MA|20251215_10MA,2025/12/26,10MA,8057092373,296195458.4,0.489795918,8057092373,104363633.2,0.355102041,"12/26 10MA [27968] (dis： -588 , -2.06%) (vol_wei_pr ：35.51%)"
TAIEX-60-20251226,TAIEX,27949.11,-606.91,-0.021253312,9,20251021_close|20251028_close|20251106_close|20251110_close|20251111_close|20251112_close|20251113_close|20251205_close|20251215_close,2025/10/28,close,8579810711,296195458.4,0.489795918,2001311614,104363633.2,0.355102041,"10/28 close [27949] (dis： -607 , -2.13%) (vol_wei_pr ：35.51%)"
